"arc_length"	"U_X"
91.2	9.98412e-05
91.3	9.98412e-05
91.4	9.98412e-05
91.5	9.98412e-05
91.6	9.98412e-05
91.7	9.98412e-05
91.8	9.98412e-05
91.9	9.98412e-05
92	9.98412e-05
92.1	9.98639e-05
92.2	9.98639e-05
92.3	9.98639e-05
92.4	9.98639e-05
92.5	9.98639e-05
92.6	9.98639e-05
92.7	9.98639e-05
92.8	9.98639e-05
92.9	9.98639e-05
93	9.98639e-05
93.1	9.98866e-05
93.2	9.98866e-05
93.3	9.98866e-05
93.4	9.98866e-05
93.5	9.98866e-05
93.6	9.98866e-05
93.7	9.98866e-05
93.8	9.98866e-05
93.9	9.98866e-05
94	9.98866e-05
94.1	9.99093e-05
94.2	9.99093e-05
94.3	9.99093e-05
94.4	9.99093e-05
94.5	9.99093e-05
94.6	9.99093e-05
94.7	9.99093e-05
94.8	9.99093e-05
94.9	9.99093e-05
95	9.99093e-05
95.1	9.99319e-05
95.2	9.99319e-05
95.3	9.99319e-05
95.4	9.99319e-05
95.5	9.99319e-05
95.6	9.99319e-05
95.7	9.99319e-05
95.8	9.99319e-05
95.9	9.99319e-05
96	9.99319e-05
96.1	9.99546e-05
96.2	9.99546e-05
96.3	9.99546e-05
96.4	9.99546e-05
96.5	9.99546e-05
96.6	9.99546e-05
96.7	9.99546e-05
96.8	9.99546e-05
96.9	9.99546e-05
97	9.99546e-05
97.1	9.99773e-05
97.2	9.99773e-05
97.3	9.99773e-05
97.4	9.99773e-05
97.5	9.99773e-05
97.6	9.99773e-05
97.7	9.99773e-05
97.8	9.99773e-05
97.9	9.99773e-05
98	9.99773e-05
98.1	0.0001
98.2	0.0001
98.3	0.0001
98.4	0.0001
98.5	0.0001
98.6	0.0001
98.7	0.0001
98.8	0.0001
98.9	0.0001
99	0.0001
99.1	0.0001
99.2	0.0001
99.3	0.0001
99.4	0.0001
99.5	0.0001
99.6	0.0001
99.7	0.0001
99.8	0.0001
99.9	0.0001
100	0.0001
