"arc_length"	"U_X","U_Magnitude"
100.98	3.18636e-05	4.15143e-05
101.15	3.14899e-05	4.07309e-05
101.32	3.14899e-05	4.07309e-05
101.49	3.14899e-05	4.07309e-05
101.66	3.14899e-05	4.07309e-05
101.83	3.14899e-05	4.07309e-05
102	3.14899e-05	4.07309e-05
102.17	3.10996e-05	3.98985e-05
102.34	3.10996e-05	3.98985e-05
102.51	3.10996e-05	3.98985e-05
102.68	3.10996e-05	3.98985e-05
102.85	3.10996e-05	3.98985e-05
103.02	3.06941e-05	3.90172e-05
103.19	3.06941e-05	3.90172e-05
103.36	3.06941e-05	3.90172e-05
103.53	3.06941e-05	3.90172e-05
103.7	3.06941e-05	3.90172e-05
103.87	3.06941e-05	3.90172e-05
104.04	3.02749e-05	3.80869e-05
104.21	3.02749e-05	3.80869e-05
104.38	3.02749e-05	3.80869e-05
104.55	3.02749e-05	3.80869e-05
104.72	3.02749e-05	3.80869e-05
104.89	3.02749e-05	3.80869e-05
105.06	2.98434e-05	3.71077e-05
105.23	2.98434e-05	3.71077e-05
105.4	2.98434e-05	3.71077e-05
105.57	2.98434e-05	3.71077e-05
105.74	2.98434e-05	3.71077e-05
105.91	2.98434e-05	3.71077e-05
106.08	2.94013e-05	3.60796e-05
106.25	2.94013e-05	3.60796e-05
106.42	2.94013e-05	3.60796e-05
106.59	2.94013e-05	3.60796e-05
106.76	2.94013e-05	3.60796e-05
106.93	2.94013e-05	3.60796e-05
107.1	2.89504e-05	3.50024e-05
107.27	2.89504e-05	3.50024e-05
107.44	2.89504e-05	3.50024e-05
107.61	2.89504e-05	3.50024e-05
107.78	2.89504e-05	3.50024e-05
107.95	2.89504e-05	3.50024e-05
108.12	2.84926e-05	3.38763e-05
108.29	2.84926e-05	3.38763e-05
108.46	2.84926e-05	3.38763e-05
108.63	2.84926e-05	3.38763e-05
108.8	2.84926e-05	3.38763e-05
108.97	2.84926e-05	3.38763e-05
109.14	2.80297e-05	3.27013e-05
109.31	2.80297e-05	3.27013e-05
109.48	2.80297e-05	3.27013e-05
109.65	2.80297e-05	3.27013e-05
109.82	2.80297e-05	3.27013e-05
109.99	2.80297e-05	3.27013e-05
110.16	2.7564e-05	3.14774e-05
110.33	2.7564e-05	3.14774e-05
110.5	2.7564e-05	3.14774e-05
110.67	2.7564e-05	3.14774e-05
110.84	2.7564e-05	3.14774e-05
111.01	2.70974e-05	3.02044e-05
111.18	2.70974e-05	3.02044e-05
111.35	2.70974e-05	3.02044e-05
111.52	2.70974e-05	3.02044e-05
111.69	2.70974e-05	3.02044e-05
111.86	2.70974e-05	3.02044e-05
112.03	2.66324e-05	2.88825e-05
112.2	2.66324e-05	2.88825e-05
112.37	2.66324e-05	2.88825e-05
112.54	2.66324e-05	2.88825e-05
112.71	2.66324e-05	2.88825e-05
112.88	2.66324e-05	2.88825e-05
113.05	2.61714e-05	2.75117e-05
113.22	2.61714e-05	2.75117e-05
113.39	2.61714e-05	2.75117e-05
113.56	2.61714e-05	2.75117e-05
113.73	2.61714e-05	2.75117e-05
113.9	2.61714e-05	2.75117e-05
114.07	2.57166e-05	2.6092e-05
114.24	2.57166e-05	2.6092e-05
114.41	2.57166e-05	2.6092e-05
114.58	2.57166e-05	2.6092e-05
114.75	2.57166e-05	2.6092e-05
114.92	2.57166e-05	2.6092e-05
115.09	2.52708e-05	2.46232e-05
115.26	2.52708e-05	2.46232e-05
115.43	2.52708e-05	2.46232e-05
115.6	2.52708e-05	2.46232e-05
115.77	2.52708e-05	2.46232e-05
115.94	2.52708e-05	2.46232e-05
116.11	2.48365e-05	2.31056e-05
116.28	2.48365e-05	2.31056e-05
116.45	2.48365e-05	2.31056e-05
116.62	2.48365e-05	2.31056e-05
116.79	2.48365e-05	2.31056e-05
116.96	2.48365e-05	2.31056e-05
117.13	2.44162e-05	2.1539e-05
117.3	2.44162e-05	2.1539e-05
117.47	2.44162e-05	2.1539e-05
117.64	2.44162e-05	2.1539e-05
117.81	2.44162e-05	2.1539e-05
117.98	2.44162e-05	2.1539e-05
118.15	2.40127e-05	1.99234e-05
118.32	2.40127e-05	1.99234e-05
118.49	2.40127e-05	1.99234e-05
118.66	2.40127e-05	1.99234e-05
118.83	2.40127e-05	1.99234e-05
119	2.40127e-05	1.99234e-05
119.17	2.36286e-05	1.82589e-05
119.34	2.36286e-05	1.82589e-05
119.51	2.36286e-05	1.82589e-05
119.68	2.36286e-05	1.82589e-05
119.85	2.36286e-05	1.82589e-05
120.02	2.32665e-05	1.65454e-05
120.19	2.32665e-05	1.65454e-05
120.36	2.32665e-05	1.65454e-05
120.53	2.32665e-05	1.65454e-05
120.7	2.32665e-05	1.65454e-05
120.87	2.32665e-05	1.65454e-05
121.04	2.29289e-05	1.47829e-05
121.21	2.29289e-05	1.47829e-05
121.38	2.29289e-05	1.47829e-05
121.55	2.29289e-05	1.47829e-05
121.72	2.29289e-05	1.47829e-05
121.89	2.29289e-05	1.47829e-05
122.06	2.26181e-05	1.29715e-05
122.23	2.26181e-05	1.29715e-05
122.4	2.26181e-05	1.29715e-05
122.57	2.26181e-05	1.29715e-05
122.74	2.26181e-05	1.29715e-05
122.91	2.26181e-05	1.29715e-05
123.08	2.23362e-05	1.11111e-05
123.25	2.23362e-05	1.11111e-05
123.42	2.23362e-05	1.11111e-05
123.59	2.23362e-05	1.11111e-05
123.76	2.23362e-05	1.11111e-05
123.93	2.23362e-05	1.11111e-05
124.1	2.20844e-05	9.20162e-06
124.27	2.20844e-05	9.20162e-06
124.44	2.20844e-05	9.20162e-06
124.61	2.20844e-05	9.20162e-06
124.78	2.20844e-05	9.20162e-06
124.95	2.20844e-05	9.20162e-06
125.12	2.18621e-05	7.24315e-06
125.29	2.18621e-05	7.24315e-06
125.46	2.18621e-05	7.24315e-06
125.63	2.18621e-05	7.24315e-06
125.8	2.18621e-05	7.24315e-06
125.97	2.18621e-05	7.24315e-06
126.14	2.1665e-05	5.23562e-06
126.31	2.1665e-05	5.23562e-06
126.48	2.1665e-05	5.23562e-06
126.65	2.1665e-05	5.23562e-06
126.82	2.1665e-05	5.23562e-06
126.99	2.1665e-05	5.23562e-06
127.16	2.14829e-05	3.17903e-06
127.33	2.14829e-05	3.17903e-06
127.5	2.14829e-05	3.17903e-06
127.67	2.14829e-05	3.17903e-06
127.84	2.14829e-05	3.17903e-06
128.01	2.12929e-05	1.07334e-06
128.18	2.12929e-05	1.07334e-06
128.35	2.12929e-05	1.07334e-06
128.52	2.12929e-05	1.07334e-06
128.69	2.12929e-05	1.07334e-06
128.86	2.12929e-05	1.07334e-06
129.03	2.10211e-05	0
129.2	2.10211e-05	0
129.37	2.10211e-05	0
129.54	2.10211e-05	0
129.71	2.10211e-05	0
129.88	2.10211e-05	0
