"arc_length"	"U_X","U_Magnitude"
72.71	0.000187145	0.000192612
72.82	0.000187145	0.000192612
72.93	0.000187145	0.000192612
73.04	0.000185758	0.000191214
73.15	0.000185758	0.000191214
73.26	0.000185758	0.000191214
73.37	0.000185758	0.000191214
73.48	0.000185758	0.000191214
73.59	0.000185758	0.000191214
73.7	0.000185758	0.000191214
73.81	0.000185758	0.000191214
73.92	0.000185758	0.000191214
74.03	0.000184144	0.000189582
74.14	0.000184144	0.000189582
74.25	0.000184144	0.000189582
74.36	0.000184144	0.000189582
74.47	0.000184144	0.000189582
74.58	0.000184144	0.000189582
74.69	0.000184144	0.000189582
74.8	0.000184144	0.000189582
74.91	0.000184144	0.000189582
75.02	0.000182302	0.000187717
75.13	0.000182302	0.000187717
75.24	0.000182302	0.000187717
75.35	0.000182302	0.000187717
75.46	0.000182302	0.000187717
75.57	0.000182302	0.000187717
75.68	0.000182302	0.000187717
75.79	0.000182302	0.000187717
75.9	0.000182302	0.000187717
76.01	0.000180235	0.000185618
76.12	0.000180235	0.000185618
76.23	0.000180235	0.000185618
76.34	0.000180235	0.000185618
76.45	0.000180235	0.000185618
76.56	0.000180235	0.000185618
76.67	0.000180235	0.000185618
76.78	0.000180235	0.000185618
76.89	0.000180235	0.000185618
77	0.000180235	0.000185618
77.11	0.00017794	0.000183286
77.22	0.00017794	0.000183286
77.33	0.00017794	0.000183286
77.44	0.00017794	0.000183286
77.55	0.00017794	0.000183286
77.66	0.00017794	0.000183286
77.77	0.00017794	0.000183286
77.88	0.00017794	0.000183286
77.99	0.00017794	0.000183286
78.1	0.000175419	0.000180721
78.21	0.000175419	0.000180721
78.32	0.000175419	0.000180721
78.43	0.000175419	0.000180721
78.54	0.000175419	0.000180721
78.65	0.000175419	0.000180721
78.76	0.000175419	0.000180721
78.87	0.000175419	0.000180721
78.98	0.000175419	0.000180721
79.09	0.000172671	0.000177921
79.2	0.000172671	0.000177921
79.31	0.000172671	0.000177921
79.42	0.000172671	0.000177921
79.53	0.000172671	0.000177921
79.64	0.000172671	0.000177921
79.75	0.000172671	0.000177921
79.86	0.000172671	0.000177921
79.97	0.000172671	0.000177921
80.08	0.000169697	0.000174889
80.19	0.000169697	0.000174889
80.3	0.000169697	0.000174889
80.41	0.000169697	0.000174889
80.52	0.000169697	0.000174889
80.63	0.000169697	0.000174889
80.74	0.000169697	0.000174889
80.85	0.000169697	0.000174889
80.96	0.000169697	0.000174889
81.07	0.000166496	0.000171624
81.18	0.000166496	0.000171624
81.29	0.000166496	0.000171624
81.4	0.000166496	0.000171624
81.51	0.000166496	0.000171624
81.62	0.000166496	0.000171624
81.73	0.000166496	0.000171624
81.84	0.000166496	0.000171624
81.95	0.000166496	0.000171624
82.06	0.00016307	0.000168125
82.17	0.00016307	0.000168125
82.28	0.00016307	0.000168125
82.39	0.00016307	0.000168125
82.5	0.00016307	0.000168125
82.61	0.00016307	0.000168125
82.72	0.00016307	0.000168125
82.83	0.00016307	0.000168125
82.94	0.00016307	0.000168125
83.05	0.000159417	0.000164392
83.16	0.000159417	0.000164392
83.27	0.000159417	0.000164392
83.38	0.000159417	0.000164392
83.49	0.000159417	0.000164392
83.6	0.000159417	0.000164392
83.71	0.000159417	0.000164392
83.82	0.000159417	0.000164392
83.93	0.000159417	0.000164392
84.04	0.000155537	0.000160426
84.15	0.000155537	0.000160426
84.26	0.000155537	0.000160426
84.37	0.000155537	0.000160426
84.48	0.000155537	0.000160426
84.59	0.000155537	0.000160426
84.7	0.000155537	0.000160426
84.81	0.000155537	0.000160426
84.92	0.000155537	0.000160426
85.03	0.000151433	0.000156226
85.14	0.000151433	0.000156226
85.25	0.000151433	0.000156226
85.36	0.000151433	0.000156226
85.47	0.000151433	0.000156226
85.58	0.000151433	0.000156226
85.69	0.000151433	0.000156226
85.8	0.000151433	0.000156226
85.91	0.000151433	0.000156226
86.02	0.000147102	0.000151794
86.13	0.000147102	0.000151794
86.24	0.000147102	0.000151794
86.35	0.000147102	0.000151794
86.46	0.000147102	0.000151794
86.57	0.000147102	0.000151794
86.68	0.000147102	0.000151794
86.79	0.000147102	0.000151794
86.9	0.000147102	0.000151794
87.01	0.000142546	0.000147128
87.12	0.000142546	0.000147128
87.23	0.000142546	0.000147128
87.34	0.000142546	0.000147128
87.45	0.000142546	0.000147128
87.56	0.000142546	0.000147128
87.67	0.000142546	0.000147128
87.78	0.000142546	0.000147128
87.89	0.000142546	0.000147128
88	0.000142546	0.000147128
88.11	0.000137765	0.000142228
88.22	0.000137765	0.000142228
88.33	0.000137765	0.000142228
88.44	0.000137765	0.000142228
88.55	0.000137765	0.000142228
88.66	0.000137765	0.000142228
88.77	0.000137765	0.000142228
88.88	0.000137765	0.000142228
88.99	0.000137765	0.000142228
89.1	0.000132759	0.000137094
89.21	0.000132759	0.000137094
89.32	0.000132759	0.000137094
89.43	0.000132759	0.000137094
89.54	0.000132759	0.000137094
89.65	0.000132759	0.000137094
89.76	0.000132759	0.000137094
89.87	0.000132759	0.000137094
89.98	0.000132759	0.000137094
90.09	0.000127528	0.000131728
90.2	0.000127528	0.000131728
90.31	0.000127528	0.000131728
90.42	0.000127528	0.000131728
90.53	0.000127528	0.000131728
90.64	0.000127528	0.000131728
90.75	0.000127528	0.000131728
90.86	0.000127528	0.000131728
90.97	0.000127528	0.000131728
91.08	0.000122072	0.000126128
91.19	0.000122072	0.000126128
91.3	0.000122072	0.000126128
91.41	0.000122072	0.000126128
91.52	0.000122072	0.000126128
91.63	0.000122072	0.000126128
91.74	0.000122072	0.000126128
91.85	0.000122072	0.000126128
91.96	0.000122072	0.000126128
92.07	0.000116393	0.000120294
92.18	0.000116393	0.000120294
92.29	0.000116393	0.000120294
92.4	0.000116393	0.000120294
92.51	0.000116393	0.000120294
92.62	0.000116393	0.000120294
92.73	0.000116393	0.000120294
92.84	0.000116393	0.000120294
92.95	0.000116393	0.000120294
93.06	0.000110489	0.000114227
93.17	0.000110489	0.000114227
93.28	0.000110489	0.000114227
93.39	0.000110489	0.000114227
93.5	0.000110489	0.000114227
93.61	0.000110489	0.000114227
93.72	0.000110489	0.000114227
93.83	0.000110489	0.000114227
93.94	0.000110489	0.000114227
94.05	0.000104362	0.000107926
94.16	0.000104362	0.000107926
94.27	0.000104362	0.000107926
94.38	0.000104362	0.000107926
94.49	0.000104362	0.000107926
94.6	0.000104362	0.000107926
94.71	0.000104362	0.000107926
94.82	0.000104362	0.000107926
94.93	0.000104362	0.000107926
95.04	9.80122e-05	0.000101392
95.15	9.80122e-05	0.000101392
95.26	9.80122e-05	0.000101392
95.37	9.80122e-05	0.000101392
95.48	9.80122e-05	0.000101392
95.59	9.80122e-05	0.000101392
