"arc_length"	"U_Magnitude_cm_Guo"
98.1	0.0119667
98.2	0.0119667
98.3	0.0119667
98.4	0.0119667
98.5	0.0119667
98.6	0.0119667
98.7	0.0119667
98.8	0.0119667
98.9	0.0119667
99	0.0119667
99.1	0
99.2	0
99.3	0
99.4	0
99.5	0
99.6	0
99.7	0
99.8	0
99.9	0
100	0
