"arc_length"	"U_Magnitude_Guo"
90.6	0.0543945
90.7	0.0543945
90.8	0.0543945
90.9	0.0543945
91	0.0543945
91.1	0.0491795
91.2	0.0491795
91.3	0.0491795
91.4	0.0491795
91.5	0.0491795
91.6	0.0491795
91.7	0.0491795
91.8	0.0491795
91.9	0.0491795
92	0.0491795
92.1	0.0436573
92.2	0.0436573
92.3	0.0436573
92.4	0.0436573
92.5	0.0436573
92.6	0.0436573
92.7	0.0436573
92.8	0.0436573
92.9	0.0436573
93	0.0436573
93.1	0.0378277
93.2	0.0378277
93.3	0.0378277
93.4	0.0378277
93.5	0.0378277
93.6	0.0378277
93.7	0.0378277
93.8	0.0378277
93.9	0.0378277
94	0.0378277
94.1	0.0316907
94.2	0.0316907
94.3	0.0316907
94.4	0.0316907
94.5	0.0316907
94.6	0.0316907
94.7	0.0316907
94.8	0.0316907
94.9	0.0316907
95	0.0316907
95.1	0.0252463
95.2	0.0252463
95.3	0.0252463
95.4	0.0252463
95.5	0.0252463
95.6	0.0252463
95.7	0.0252463
95.8	0.0252463
95.9	0.0252463
96	0.0252463
96.1	0.0184944
96.2	0.0184944
96.3	0.0184944
96.4	0.0184944
96.5	0.0184944
96.6	0.0184944
96.7	0.0184944
96.8	0.0184944
96.9	0.0184944
97	0.0184944
97.1	0.0114349
97.2	0.0114349
97.3	0.0114349
97.4	0.0114349
97.5	0.0114349
97.6	0.0114349
97.7	0.0114349
97.8	0.0114349
97.9	0.0114349
98	0.0114349
98.1	0.00406773
98.2	0.00406773
98.3	0.00406773
98.4	0.00406773
98.5	0.00406773
98.6	0.00406773
98.7	0.00406773
98.8	0.00406773
98.9	0.00406773
99	0.00406773
99.1	0
99.2	0
99.3	0
99.4	0
99.5	0
99.6	0
99.7	0
99.8	0
99.9	0
100	0
