"arc_length"	"U_Magnitude_eq25","U_MagnitudeMRT"
135.424	3.83979e-08	2.90026e-09
135.68	3.83979e-08	2.90026e-09
135.936	3.83979e-08	2.90026e-09
136.192	1.15997e-07	4.15986e-09
136.448	1.15997e-07	4.15986e-09
136.704	1.15997e-07	4.15986e-09
136.96	1.15997e-07	4.15986e-09
137.216	2.36425e-07	5.71395e-09
137.472	2.36425e-07	5.71395e-09
137.728	2.36425e-07	5.71395e-09
137.984	2.36425e-07	5.71395e-09
138.24	4.25735e-07	7.57786e-09
138.496	4.25735e-07	7.57786e-09
138.752	4.25735e-07	7.57786e-09
139.008	7.04777e-07	9.76047e-09
139.264	7.04777e-07	9.76047e-09
139.52	7.04777e-07	9.76047e-09
139.776	7.04777e-07	9.76047e-09
140.032	1.10663e-06	1.22636e-08
140.288	1.10663e-06	1.22636e-08
140.544	1.10663e-06	1.22636e-08
140.8	1.10663e-06	1.22636e-08
141.056	1.65522e-06	1.50811e-08
141.312	1.65522e-06	1.50811e-08
141.568	1.65522e-06	1.50811e-08
141.824	1.65522e-06	1.50811e-08
142.08	2.3389e-06	1.81987e-08
142.336	2.3389e-06	1.81987e-08
142.592	2.3389e-06	1.81987e-08
142.848	2.3389e-06	1.81987e-08
143.104	3.09974e-06	2.15926e-08
143.36	3.09974e-06	2.15926e-08
143.616	3.09974e-06	2.15926e-08
143.872	3.09974e-06	2.15926e-08
144.128	3.84295e-06	2.52294e-08
144.384	3.84295e-06	2.52294e-08
144.64	3.84295e-06	2.52294e-08
144.896	3.84295e-06	2.52294e-08
145.152	4.42951e-06	2.90653e-08
145.408	4.42951e-06	2.90653e-08
145.664	4.42951e-06	2.90653e-08
145.92	4.42951e-06	2.90653e-08
146.176	4.70542e-06	3.3045e-08
146.432	4.70542e-06	3.3045e-08
146.688	4.70542e-06	3.3045e-08
146.944	4.70542e-06	3.3045e-08
147.2	4.54575e-06	3.71016e-08
147.456	4.54575e-06	3.71016e-08
147.712	4.54575e-06	3.71016e-08
147.968	4.54575e-06	3.71016e-08
148.224	3.89568e-06	4.11558e-08
148.48	3.89568e-06	4.11558e-08
148.736	3.89568e-06	4.11558e-08
148.992	3.89568e-06	4.11558e-08
149.248	2.80131e-06	4.51166e-08
149.504	2.80131e-06	4.51166e-08
149.76	2.80131e-06	4.51166e-08
150.016	1.4645e-06	4.88863e-08
150.272	1.4645e-06	4.88863e-08
150.528	1.4645e-06	4.88863e-08
150.784	1.4645e-06	4.88863e-08
151.04	8.3133e-07	5.23614e-08
151.296	8.3133e-07	5.23614e-08
151.552	8.3133e-07	5.23614e-08
151.808	8.3133e-07	5.23614e-08
152.064	1.71083e-06	5.53306e-08
152.32	1.71083e-06	5.53306e-08
152.576	1.71083e-06	5.53306e-08
152.832	1.71083e-06	5.53306e-08
